City,Longitude,Latitute
Port Blair,92.7390448,11.6645348
Visakhapatnam,83.3012842,17.7231276
Vijayawada,80.6185102,16.5087586
Guntur,80.4541588,16.2915189
Nellore,79.9873763,14.4493717
Kurnool,78.0425373,15.8309251
Rajahmundry,81.7804732,17.0050454
Tirupati,79.4231711,13.6316368
Kakinada,82.2350607,16.9437385
Kadapa,78.8216861,14.4752936
Anantapuram,80.1315763,14.3530544
Eluru,81.17086824,16.67613485
Anantapur,77.55625984,14.6546235
Vijayanagaram,83.3979562,18.1139259
Tenali,80.6464219,16.2377735
Ongole,80.06080047,15.5075545
Nandyal,78.47855757,15.47537735
Chittoor,79.15555062,13.1601048
Machilipatnam,81.1351299,16.1819393
Adoni,9.185837,39.913451
Proddatur,78.5485518,14.7522659
Hindupur,77.4937723,13.826383
Bhimavaram,81.527344,16.5427689
Madanapalle,78.47914645,13.57325965
Guntakal,77.45529027,15.11965065
Srikakulam,83.9160772,18.32002205
Dharmavaram,77.72006887,14.42234715
Gudivada,80.9937151,16.4329976
Narasaraopet,80.0472879,16.2389242
Tadipatri,78.0097071,14.9069559
Kavali,80.01534336,14.91098925
Tadepalligudem,81.54514499,16.8765865
Amaravati,80.5184535,16.5096679
Guwahati,91.753943,26.1805978
Silchar,92.75622075,24.8178611
Dibrugarh,94.9019447,27.4844597
Jorhat,94.2079645,26.7577925
Nagaon,92.71605974,26.30414915
Bongaigaon,90.5580387,26.4800126
Tinsukia,95.53063473,27.52016575
Tezpur,92.76500717,26.61695705
Patna,85.1235252,25.6093239
Gaya,85.0079563,24.7964355
Bhagalpur,87.13225355,25.28669805
Muzaffarpur,85.34001282,26.1486581
Bihar Sharif,85.5208617,25.193859
Darbhanga,86.03257097,26.08314325
Purnia,87.5,26
Arrah,84.59683869,25.62345725
Begusarai,86.09057109,25.5127194
Munger,86.51720367,25.22081165
Chapra,84.78497717,25.7733443
Danapur,85.0474045,25.6358901
Katihar,87.64765354,25.56090035
Saharsa,86.61489283,25.83264165
Sasaram,84.01821107,24.9001003
Hajipur,85.25555961,25.7205805
Dehri,77.2219388,28.6517178
Siwan,84.39125661,26.1310043
Bettiah,84.56010679,26.79107275
Motihari,84.95741062,26.66951195
